year,Product_type,Sales
2020,Dried Cannabis,72793897
2020,Edibles,14289676
2020,Extracts,12041601
2020,Seeds,27613
2020,Topicals,85989
2021,Dried Cannabis,97351592
2021,Edibles,31193102
2021,Extracts,23439323
2021,Seeds,61014
2021,Topicals,351901
2022,Dried Cannabis,111260345
2022,Edibles,43293391
2022,Extracts,37962006
2022,Seeds,77373
2022,Topicals,466846
2023,Dried Cannabis,120348533
2023,Edibles,49820621
2023,Extracts,55166781
2023,Seeds,67979
2023,Topicals,454046
2024,Dried Cannabis,61868957
2024,Edibles,28677159
2024,Extracts,26346278
2024,Seeds,45086
2024,Topicals,174065
